,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Batagay,67.63,134.63,12.0,94,100,4.43,RU,1603165250
375,Dimitrovgrad,54.21,49.62,39.2,80,40,8.95,RU,1603165249
376,Igrim,63.19,64.42,29.59,98,98,4.29,RU,1603165250
377,Fethiye,36.62,29.12,62.6,88,40,4.7,TR,1603165250
378,Sar-e Pul,35.83,66.17,57.83,31,0,1.5,AF,1603165250
379,Vardø,70.37,31.11,35.6,80,40,14.99,NO,1603165251
380,Marsh Harbour,26.54,-77.06,81.43,77,100,21.27,BS,1603165251
381,Locri,38.24,16.26,61.0,77,10,7.61,IT,1603165251
382,Donskoye,45.46,41.97,44.6,93,40,2.24,RU,1603165251
383,Russell,32.35,-85.2,69.8,93,1,4.56,US,1603165251
384,Atambua,-9.11,124.89,89.24,39,3,1.1,ID,1603165182
385,Pareora,-44.49,171.21,50.11,75,99,8.52,NZ,1603165251
386,Lagoa,39.05,-27.98,63.19,70,2,29.57,PT,1603165252
387,Oktyabr'skoye,43.06,44.74,55.4,71,100,6.71,RU,1603165252
388,Noyabrsk,63.2,75.45,29.71,98,70,4.81,RU,1603165252
389,Fort Morgan,40.25,-103.8,46.4,38,1,12.75,US,1603165252
390,Lagos,6.58,3.75,73.4,100,20,2.24,NG,1603165052
391,Kiryat Gat,31.61,34.76,71.01,88,8,2.24,IL,1603165252
392,Oyem,1.6,11.58,67.05,99,100,2.26,GA,1603165253
393,Mwense,-10.38,28.7,73.85,48,82,1.23,ZM,1603165253
394,Gordeyevka,52.96,31.97,35.98,91,42,11.81,RU,1603165253
395,Acapulco de Juárez,16.86,-99.89,81.03,79,16,6.06,MX,1603165253
396,Kuito,-12.38,16.93,61.11,73,0,5.48,AO,1603165253
397,Touros,-5.2,-35.46,73.4,88,40,3.36,BR,1603165254
398,Elizabeth City,36.29,-76.25,66.2,100,90,6.93,US,1603165254
399,Pemba,-12.97,40.52,75.61,83,1,2.64,MZ,1603165254
400,Mayor Pablo Lagerenza,-19.93,-60.77,77.02,73,19,7.9,PY,1603165254
401,Neyshabur,36.21,58.8,58.96,24,0,1.57,IR,1603165254
402,Roebourne,-20.78,117.13,87.48,29,0,14.58,AU,1603165255
403,Goderich,43.75,-81.72,44.01,85,100,10.92,CA,1603165255
404,Esperance,-33.87,121.9,68.0,82,75,11.41,AU,1603165255
405,Constitución,-35.33,-72.42,51.67,72,54,11.72,CL,1603165185
406,Owase,34.07,136.2,69.46,50,34,9.22,JP,1603165255
407,Griffith,41.53,-87.42,46.4,93,90,3.36,US,1603165255
408,Belém,-1.46,-48.5,75.2,94,35,4.85,BR,1603165256
409,Tutóia,-2.76,-42.27,79.92,78,8,15.08,BR,1603165256
410,Bhīmunipatnam,17.88,83.43,84.2,79,40,4.7,IN,1603165256
411,Viedma,-40.81,-63.0,45.03,58,0,4.63,AR,1603165246
412,Tarauacá,-8.16,-70.77,73.8,84,53,2.3,BR,1603165188
413,Ngorongoro,-3.24,35.49,53.31,100,93,6.64,TZ,1603165256
414,Yaransk,57.3,47.89,32.94,95,19,8.61,RU,1603165257
415,Igarka,67.47,86.58,10.6,96,99,4.21,RU,1603165257
416,Kailua,21.4,-157.74,82.4,74,20,9.17,US,1603165257
417,Maceió,-9.67,-35.74,71.6,94,40,3.36,BR,1603165226
418,Bandarbeyla,9.49,50.81,80.33,57,13,6.49,SO,1603165257
419,Coquimbo,-29.95,-71.34,55.4,76,0,11.41,CL,1603165258
420,Mengyin,35.71,117.93,66.34,35,100,6.67,CN,1603165258
421,Nazas,25.23,-104.13,70.18,30,0,1.95,MX,1603165258
422,Kosh-Agach,50.0,88.67,26.33,72,41,1.54,RU,1603165259
423,Seoul,37.57,126.98,68.0,48,1,2.59,KR,1603165167
424,Denpasar,-8.65,115.22,84.2,70,75,11.41,ID,1603165191
425,Itupiranga,-5.13,-49.33,79.18,68,95,5.03,BR,1603165261
426,Flin Flon,54.77,-101.86,23.43,91,23,3.67,CA,1603165261
427,Vestmannaeyjar,63.44,-20.27,39.09,76,64,3.09,IS,1603165253
428,Broome,42.25,-75.83,55.99,93,90,10.29,US,1603165179
429,Saldanha,-33.01,17.94,57.25,80,58,5.32,ZA,1603165261
430,Dalbandin,28.89,64.41,64.06,24,0,7.65,PK,1603165261
431,Krasnoarmiys'k,48.28,37.18,40.24,77,0,4.52,UA,1603165262
432,Farmington,36.73,-108.22,64.4,15,1,1.19,US,1603165041
433,Altay,47.87,88.12,40.77,58,12,2.62,CN,1603165262
434,Santa Cruz,30.42,-9.6,64.4,59,100,9.17,MA,1603165090
435,Bhisho,-32.85,27.44,60.8,77,40,17.22,ZA,1603165262
436,Icod de los Vinos,28.37,-16.71,77.0,88,93,2.24,ES,1603165263
437,Tarakan,3.3,117.63,79.92,81,100,6.38,ID,1603165263
438,Saint-Augustin,51.23,-58.65,44.08,79,96,5.86,CA,1603165263
439,Serowe,-22.38,26.72,70.95,27,0,7.07,BW,1603165263
440,Erbil,36.19,44.01,55.4,35,0,5.82,IQ,1603165263
441,Santa Pola,38.19,-0.57,62.01,82,84,4.7,ES,1603165263
442,San Quintín,30.48,-115.95,67.6,84,0,11.18,MX,1603165264
443,Concordia,-31.39,-58.02,78.01,66,1,11.99,AR,1603165264
444,Matagami,49.75,-77.63,32.0,97,90,4.7,CA,1603165207
445,Mariestad,58.71,13.82,37.99,75,100,2.24,SE,1603165264
446,Marana,32.44,-111.23,78.01,14,1,3.09,US,1603165264
447,Alofi,-19.06,-169.92,78.8,69,75,16.11,NU,1603165164
448,Broken Hill,-31.95,141.43,73.4,25,95,6.93,AU,1603165265
449,Fort Nelson,58.81,-122.7,17.6,78,20,2.24,CA,1603165078
450,Sterling,39.01,-77.43,60.01,93,40,6.6,US,1603164983
451,Talara,-4.58,-81.27,64.09,88,53,13.82,PE,1603165265
452,Barsovo,61.17,73.17,32.0,98,40,6.71,RU,1603165265
453,Mt. Pleasant,32.79,-79.86,71.01,100,20,10.65,US,1603165181
454,Sunbury,-37.58,144.73,64.0,59,40,6.93,AU,1603165266
455,Ak-Dovurak,51.18,90.6,31.48,75,100,1.48,RU,1603165266
456,Saint-Louis,16.33,-15.0,84.2,54,25,10.16,SN,1603165266
457,Hamilton,39.18,-84.53,55.0,93,90,8.05,US,1603165267
458,Meadow Lake,34.8,-106.54,64.4,17,1,3.36,US,1603165267
459,Bonanza,14.03,-84.59,72.32,97,100,1.92,NI,1603165267
460,Qandala,11.47,49.87,84.31,44,0,1.32,SO,1603165267
461,Huilong,31.81,121.66,71.01,59,0,4.0,CN,1603165267
462,Athabasca,54.72,-113.29,24.64,97,100,1.14,CA,1603165267
463,The Valley,18.22,-63.06,82.4,69,20,10.29,AI,1603165268
464,Cotuí,19.05,-70.15,78.8,83,40,4.7,DO,1603165268
465,Salinópolis,-0.61,-47.36,79.92,83,19,11.68,BR,1603165268
466,Port Blair,11.67,92.75,83.88,78,51,16.04,IN,1603165268
467,Tabou,4.42,-7.35,76.59,80,99,6.58,CI,1603165268
468,Derzhavīnsk,51.1,66.32,51.22,62,0,12.37,KZ,1603165269
469,Smolenskoye,52.3,85.08,42.85,60,100,3.15,RU,1603165269
470,Salalah,17.02,54.09,78.8,57,40,2.24,OM,1603165164
471,Ginir,7.13,40.7,58.08,85,3,5.59,ET,1603165269
472,Turka,49.15,23.03,37.99,91,26,8.99,UA,1603165270
473,Bac Lieu,9.29,105.72,84.24,74,95,5.95,VN,1603165270
474,Jishou,28.32,109.72,55.9,83,100,4.94,CN,1603165270
475,Priiskovyy,51.93,116.63,44.24,60,100,4.5,RU,1603165270
476,Mae Sai,20.43,99.88,72.0,100,90,8.05,TH,1603165270
477,Cabo San Lucas,22.89,-109.91,82.99,74,5,4.7,MX,1603165252
478,Gus-Zheleznyy,55.06,41.17,38.32,77,75,12.19,RU,1603165271
479,Kavieng,-2.57,150.8,83.55,70,99,3.36,PG,1603165192
480,Arrondissement du Havre,49.58,0.33,57.2,71,100,10.29,FR,1603165271
481,Wabag,-5.48,143.7,63.01,90,87,2.84,PG,1603165271
482,Luwuk,-0.95,122.79,86.74,60,100,7.74,ID,1603165271
483,Kindu,-2.95,25.95,67.59,95,95,1.14,CD,1603165272
484,Umluj,25.02,37.27,83.34,34,0,7.94,SA,1603165272
485,Monaco-Ville,43.73,7.42,53.6,76,40,8.05,FR,1603165272
486,Teguise,29.06,-13.56,69.8,88,90,3.36,ES,1603165272
487,Ostrovnoy,68.05,39.51,35.62,83,100,12.73,RU,1603165235
488,Wewak,-3.55,143.63,83.1,76,47,5.7,PG,1603165272
489,Buchanan,5.88,-10.05,76.69,88,74,5.97,LR,1603165273
490,Charleville-Mézières,49.77,4.72,48.99,76,100,13.87,FR,1603165273
491,Maturin,9.75,-63.18,72.95,96,0,3.04,VE,1603165273
492,Abilene,32.45,-99.73,55.4,82,1,5.82,US,1603165273
493,Kinston,35.26,-77.58,66.0,100,40,4.23,US,1603165274
494,Camabatela,-8.19,15.38,63.81,100,99,3.4,AO,1603165264
495,Havøysund,71.0,24.66,39.2,80,75,18.34,NO,1603165274
496,Mudgee,-32.59,149.59,70.0,43,75,5.82,AU,1603165274
497,Montepuez,-13.13,39.0,70.97,82,16,1.79,MZ,1603165274
498,Mehamn,71.04,27.85,37.4,80,40,17.22,NO,1603165211
499,Alexandria,31.22,29.96,73.4,73,23,9.17,EG,1603165044
500,Mayo,38.89,-76.51,61.0,100,1,3.36,US,1603165275
501,Hualmay,-11.1,-77.61,61.45,87,5,6.69,PE,1603165275
502,São Gabriel da Cachoeira,-0.13,-67.09,73.92,95,67,0.83,BR,1603165275
503,Praxédis Guerrero,31.37,-106.02,75.2,11,75,5.82,MX,1603165276
504,Sampit,-2.53,112.95,91.54,58,100,1.16,ID,1603165276
505,Oddur,4.12,43.89,72.39,82,3,5.23,SO,1603165276
506,Makakilo City,21.35,-158.09,82.4,74,75,5.82,US,1603165276
507,Lakes Entrance,-37.88,147.98,68.0,71,1,5.99,AU,1603165277
508,Pangody,65.85,74.49,25.52,98,90,4.36,RU,1603165277
509,Tres Arroyos,-38.37,-60.28,41.5,72,0,6.15,AR,1603165279
510,Majene,-3.54,118.97,87.42,60,15,6.96,ID,1603165279
511,Flinders,-34.58,150.86,69.01,67,71,5.01,AU,1603165280
512,Minden,52.28,8.92,46.4,65,20,8.05,DE,1603165280
513,Moctezuma,29.8,-109.67,74.46,20,0,2.01,MX,1603165280
514,Bonito,-21.12,-56.48,71.01,91,15,2.75,BR,1603165280
515,Meulaboh,4.14,96.13,88.29,56,4,1.12,ID,1603165280
516,Suntar,62.14,117.63,29.23,91,68,7.16,RU,1603165280
517,Lillooet,50.69,-121.94,50.0,71,90,4.7,CA,1603165281
518,Dzhebariki-Khaya,62.22,135.8,19.92,90,98,4.52,RU,1603165281
519,Puri,19.8,85.85,82.4,94,20,4.7,IN,1603165282
520,Ulaangom,49.98,92.07,34.83,69,31,7.11,MN,1603165282
521,Zhangye,38.93,100.45,53.58,36,0,17.58,CN,1603165282
522,Alta Floresta,-9.88,-56.09,70.3,98,96,4.32,BR,1603165283
523,Karratha,-20.74,116.85,85.33,35,0,14.88,AU,1603165231
524,Tilichiki,60.47,166.1,35.19,100,100,4.81,RU,1603165283
525,São Miguel,-5.47,-35.37,73.4,88,40,3.36,BR,1603165284
526,Los Llanos de Aridane,28.66,-17.92,82.4,54,84,14.99,ES,1603165195
527,Carauari,-4.88,-66.9,73.31,87,53,1.36,BR,1603165189
528,Opuwo,-18.06,13.84,61.12,32,0,3.29,NA,1603165284
529,Soyo,-6.13,12.37,76.69,84,82,6.76,AO,1603165285
530,Aasiaat,68.71,-52.87,35.53,90,100,16.8,GL,1603165285
531,Rome,43.21,-75.46,55.4,87,90,5.82,US,1603165285
532,Boyolangu,-8.12,111.89,86.83,59,55,6.24,ID,1603165200
533,Murdochville,48.96,-65.5,40.95,96,100,4.43,CA,1603165285
534,Seredka,58.16,28.19,35.6,83,100,11.18,RU,1603165285
535,Fort Frances,48.6,-93.4,23.0,73,1,2.8,CA,1603165285
536,Arrondissement de Rennes,48.17,-1.67,59.0,77,75,10.29,FR,1603165286
537,Blagoyevo,63.37,47.92,30.65,98,97,6.22,RU,1603165286
538,Ahipara,-35.17,173.17,64.45,67,96,9.57,NZ,1603165165
539,Kavaratti,10.57,72.64,82.4,78,20,5.82,IN,1603165286
540,Strezhevoy,60.73,77.59,32.0,98,90,6.71,RU,1603165287
541,Whitehorse,60.72,-135.05,24.01,79,90,2.24,CA,1603165287
542,Newtownards,54.59,-5.69,53.01,100,100,11.41,GB,1603165287
543,Sinjai,-5.12,120.25,89.02,52,87,8.23,ID,1603165287
544,Alanya,36.54,32.0,68.0,94,75,1.12,TR,1603165287
545,Rudnogorsk,57.26,103.75,26.76,90,97,11.23,RU,1603165287
546,Miandrivazo,-19.52,45.47,81.79,56,18,2.17,MG,1603165288
547,Dhārchula,29.85,80.53,73.74,29,0,4.09,IN,1603165288
548,Innisfail,-17.53,146.03,80.65,63,29,8.72,AU,1603165288
549,Yeppoon,-23.13,150.73,87.8,40,40,10.29,AU,1603165288
550,Vanavara,60.34,102.28,26.38,93,100,13.22,RU,1603165288
551,Micheweni,-4.97,39.83,77.94,77,25,8.5,TZ,1603165288
552,Ouro Preto do Oeste,-10.75,-62.22,72.46,81,100,2.21,BR,1603165238
553,Kirksville,40.19,-92.58,37.99,86,90,6.93,US,1603165289
554,Dauphin,51.15,-100.05,28.4,68,90,6.93,CA,1603165289
555,Le Port,-20.94,55.29,75.2,60,2,14.99,RE,1603165289
556,Gonder,12.6,37.47,55.51,67,0,4.7,ET,1603165289
557,Kaitangata,-46.28,169.85,54.79,51,90,7.31,NZ,1603165157
